 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20
379,455.941,260.656,197.234,188.682,162.878,173.154,72.250,257.427,193.345,6.129,259.570,187.689,333.136,169.352,169.382,119.176,247.740,195.763,56.889,246.344,200.478,123.412,242.493,155.691,305.000,229.075,198.378,368.882,229.709,193.730,167.222,222.355,216.158,123.857,163.681,168.844,125.122,244.692,190.339,167.375,240.088,194.936,333.381,237.822,169.912,265.438,258.468,181.146,39.294,216.102,195.278,77.219,220.693,198.316,71.471,238.154,190.610,508.692,240.738,161.471
380,104.529,260.511,197.293,163.909,162.669,173.244,93.000,257.206,193.578,13.484,259.649,186.981,705.364,169.532,169.476,187.471,247.657,195.910,74.111,246.558,200.679,131.059,242.723,155.578,409.000,229.102,198.336,510.176,229.559,193.761,239.667,222.292,216.241,114.238,163.747,169.312,93.341,244.559,190.341,160.667,240.285,194.998,407.905,237.637,169.762,248.469,258.466,181.173,51.647,216.193,194.924,113.312,220.576,198.501,106.176,238.223,190.403,570.308,240.640,161.592
381,44.118,260.404,197.062,118.909,162.605,173.044,125.875,257.095,193.536,24.839,259.477,187.557,2115.750,169.411,169.581,216.588,247.674,195.757,80.778,246.585,200.644,176.824,242.567,155.700,377.812,229.053,198.261,858.706,229.581,193.752,177.926,222.374,216.201,132.810,163.966,168.905,125.341,244.574,190.293,163.667,240.338,194.885,299.905,237.806,169.696,280.594,258.323,181.124,45.000,216.192,195.406,83.156,220.584,198.201,46.294,238.595,190.440,664.846,240.662,161.571
382,22.000,260.868,197.287,230.636,162.740,173.378,88.500,257.278,193.454,13.677,259.297,186.918,1140.818,169.407,169.515,156.294,247.741,195.738,45.167,246.727,200.837,145.647,242.513,155.683,445.125,229.131,198.331,1347.765,229.486,193.770,177.074,222.196,216.277,195.857,163.926,169.115,93.195,244.723,189.977,157.917,240.333,195.043,352.905,237.838,169.710,297.562,258.328,181.107,105.471,215.983,194.728,102.594,220.632,198.869,80.706,238.452,190.554,507.615,240.735,161.499
383,31.529,260.730,197.160,157.318,162.528,173.298,122.875,257.397,193.210,12.968,259.034,187.710,414.591,169.426,169.507,227.824,247.549,195.952,105.167,246.475,200.246,157.882,242.237,155.629,506.000,229.118,198.400,1871.529,229.494,193.776,216.333,222.262,215.955,235.667,163.825,168.893,91.293,244.535,190.027,148.292,240.195,194.855,355.857,237.740,169.713,305.375,258.358,181.223,27.882,216.221,195.131,54.688,220.513,198.507,35.588,238.566,190.385,591.000,240.739,161.438
384,24.706,260.816,197.235,185.545,162.725,173.245,131.688,257.226,193.595,8.065,260.200,187.613,253.864,169.500,169.655,173.471,247.706,195.627,79.889,246.595,200.550,191.765,242.587,155.727,459.938,229.019,198.446,1099.823,229.509,193.716,176.148,222.364,216.288,854.571,163.746,169.014,115.415,244.731,189.951,208.458,240.265,194.957,434.000,237.783,169.637,282.062,258.352,181.224,54.412,216.066,195.145,110.781,220.535,198.357,29.941,238.282,190.462,539.615,240.689,161.555
385,19.412,260.923,196.504,176.273,162.920,173.248,153.875,257.411,193.468,10.516,259.347,187.560,231.000,169.485,169.564,179.882,247.773,195.735,80.500,246.437,200.444,186.647,242.649,155.569,382.938,229.124,198.345,511.706,229.513,193.654,159.037,222.421,216.290,389.190,163.748,169.037,94.195,244.543,190.094,179.167,240.259,194.955,387.333,237.820,169.672,269.406,258.414,181.234,39.765,215.929,195.542,98.000,220.686,198.399,69.882,238.533,190.798,618.923,240.723,161.544
386,33.176,260.796,196.929,139.682,162.870,173.214,128.750,257.357,193.388,8.000,259.553,187.778,203.136,169.420,169.599,267.353,247.830,195.802,78.611,246.446,200.796,128.765,242.679,155.535,399.812,229.142,198.385,434.059,229.550,193.760,165.037,222.334,216.232,139.476,163.893,168.921,76.976,244.584,190.108,193.542,240.431,194.856,346.762,237.739,169.770,338.938,258.312,181.330,44.941,216.309,194.743,123.750,220.588,198.464,70.059,238.196,190.433,542.769,240.645,161.613
387,34.529,260.809,197.218,107.545,162.527,173.240,97.625,257.294,193.384,22.516,259.591,187.646,217.909,169.358,169.553,210.765,247.505,195.866,58.611,246.943,200.562,127.529,242.417,155.599,352.375,229.135,198.280,384.882,229.667,193.766,238.333,222.271,216.092,85.048,163.894,169.246,99.341,244.601,189.956,220.125,240.206,194.864,447.667,237.792,169.772,413.938,258.289,181.418,27.088,215.895,194.805,124.625,220.912,198.539,54.647,238.593,190.427,538.692,240.630,161.534
388,34.000,260.676,197.398,173.682,162.824,173.302,87.062,257.591,193.492,24.323,259.581,187.804,253.136,169.442,169.731,199.882,247.608,195.930,49.389,246.453,200.724,155.059,242.704,155.593,419.062,229.125,198.401,283.706,229.442,193.695,154.667,222.223,216.197,107.143,163.795,168.919,150.268,244.491,190.253,194.125,240.272,194.975,390.143,237.767,169.880,392.000,258.371,181.032,53.412,216.186,194.396,88.438,220.701,198.633,47.235,238.528,190.436,488.231,240.697,161.502
389,39.529,260.840,197.323,297.409,162.695,173.102,65.812,257.405,193.313,20.129,259.516,187.594,282.727,169.426,169.520,238.529,247.766,195.864,98.944,246.525,200.458,163.000,242.373,155.697,274.062,229.177,198.282,285.412,229.513,193.763,216.852,222.176,216.188,165.571,163.897,169.186,114.146,244.614,190.184,124.542,240.223,194.857,476.429,237.757,169.646,348.344,258.271,181.385,37.059,216.014,194.699,104.188,220.471,198.504,127.529,238.316,190.643,423.538,240.746,161.599
390,60.588,260.827,197.545,1859.818,162.705,173.193,86.875,257.280,193.441,19.806,259.749,187.667,204.955,169.331,169.432,243.529,247.672,195.736,89.056,246.321,200.420,179.471,242.567,155.660,385.188,229.089,198.402,325.294,229.546,193.653,153.074,222.118,216.139,207.619,163.733,169.247,103.537,244.623,189.995,167.667,240.355,194.968,449.238,237.803,169.640,408.500,258.360,181.265,47.912,216.071,194.972,112.781,220.638,198.483,70.118,238.503,189.966,528.154,240.783,161.485
391,29.176,260.731,196.946,1941.545,162.765,173.093,124.875,257.390,193.586,9.548,259.514,187.956,213.727,169.345,169.544,207.647,247.816,195.737,94.556,246.612,200.968,151.471,242.685,155.645,418.000,229.009,198.462,222.353,229.600,193.847,205.778,222.136,216.226,188.143,163.758,169.167,141.146,244.539,190.365,160.500,240.199,194.883,542.143,237.780,169.782,434.906,258.291,181.248,78.735,216.112,195.309,80.688,220.654,198.617,46.706,238.232,190.456,567.385,240.722,161.457
