 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
547,355.864,108.127,69.794,379.451,118.319,87.294,289.438,124.490,89.307,209.294,124.364,105.881,69.600,149.896,119.073,165.548,118.159,107.381,280.000,120.079,111.078,93.176,102.268,136.986,480.765,112.585,94.770,78.059,128.198,98.495,45.643,130.806,92.895,31.889,106.833,64.389,114.167,97.679,68.456
548,174.227,107.867,69.798,242.314,118.326,87.221,208.375,124.560,89.431,173.059,124.454,105.706,36.500,149.667,119.112,241.032,118.322,107.405,351.750,119.971,111.034,68.529,102.473,137.419,411.000,112.558,94.849,42.941,128.488,98.601,97.357,130.925,93.392,119.167,107.281,63.854,310.444,97.879,68.542
549,338.364,108.083,69.833,293.451,118.337,87.221,340.812,124.508,89.219,333.765,124.464,105.762,45.100,149.732,119.168,210.839,118.160,107.278,231.938,119.989,111.115,145.353,102.562,137.215,401.824,112.579,94.839,58.059,128.639,98.746,56.786,130.761,93.228,121.167,107.188,64.023,298.111,97.995,68.591
550,444.409,108.040,69.817,169.451,118.510,87.178,222.625,124.441,89.156,200.235,124.580,105.785,66.900,149.746,119.127,164.452,118.191,107.331,241.938,120.030,111.141,118.529,102.569,137.153,356.294,112.502,94.756,28.647,128.306,98.620,67.214,130.794,92.971,415.056,107.289,64.060,237.722,97.909,68.586
551,195.273,108.042,69.878,147.451,118.310,87.215,134.875,124.630,89.237,181.941,124.284,105.670,71.300,149.923,118.780,216.710,118.337,107.380,280.875,119.940,110.895,95.294,102.574,137.121,350.412,112.503,94.734,41.765,128.242,98.253,96.857,130.838,92.868,94.722,107.238,63.998,204.833,97.748,68.535
552,382.909,107.927,69.922,196.824,118.319,87.318,271.688,124.367,89.385,197.765,124.487,105.860,20.800,149.837,119.244,158.387,118.140,107.479,264.562,120.015,110.845,113.176,102.489,137.176,321.647,112.409,94.782,49.412,128.229,98.507,47.000,130.636,93.596,59.833,107.220,63.885,133.333,97.903,68.458
553,292.318,107.901,69.792,230.275,118.352,87.235,101.188,124.726,89.184,274.765,124.465,105.687,68.400,149.619,118.950,176.323,118.240,107.246,363.688,120.051,110.999,134.059,102.208,136.973,371.059,112.632,94.782,49.765,128.548,98.018,46.857,130.885,92.934,223.056,107.267,64.176,198.833,97.914,68.491
554,305.273,107.989,69.801,162.980,118.251,87.345,49.750,124.231,89.166,239.588,124.513,105.793,41.700,149.730,118.745,234.452,118.062,107.357,296.250,120.060,110.927,79.471,102.339,137.133,328.529,112.508,94.721,107.000,128.311,98.560,61.071,130.834,93.123,179.611,107.201,64.088,131.444,98.093,68.653
555,321.227,107.811,69.748,185.020,118.546,87.182,57.125,124.226,89.207,234.118,124.295,105.876,37.400,149.797,118.718,213.871,118.207,107.181,275.938,119.880,110.773,82.529,102.290,136.996,437.235,112.583,94.723,94.647,128.363,98.262,101.643,130.952,93.149,48.722,107.008,64.410,72.389,97.675,68.421
556,167.636,107.842,69.913,160.902,118.249,87.359,34.750,124.568,89.603,159.353,124.664,105.723,84.100,149.633,118.748,257.871,118.316,107.197,178.812,119.888,110.955,149.294,102.305,137.160,292.000,112.575,94.621,38.294,128.200,98.400,61.929,130.649,93.143,37.167,107.301,64.255,134.944,98.168,68.722
557,26.636,107.881,69.774,189.843,118.330,87.130,33.188,124.299,89.280,247.706,124.649,105.830,46.300,149.728,118.970,227.871,118.410,107.329,253.688,119.920,111.102,116.059,102.074,137.024,515.706,112.510,94.539,51.471,128.429,98.597,31.643,130.748,92.956,58.778,107.026,64.542,125.778,97.975,68.356
558,60.909,107.766,69.744,164.745,118.403,87.438,33.938,124.430,89.309,158.118,124.405,105.779,24.700,150.036,119.388,277.032,118.312,107.385,243.125,119.955,110.994,78.471,102.252,136.911,305.941,112.618,94.808,90.882,128.461,98.402,72.000,130.834,93.101,22.500,107.297,64.213,123.444,97.631,68.687
559,34.864,107.941,69.624,116.588,118.298,87.124,32.688,124.403,89.439,202.706,124.536,105.976,117.900,149.818,118.966,175.097,118.352,107.358,269.188,119.933,111.170,100.000,102.363,137.064,365.471,112.555,94.613,54.235,128.518,98.483,28.429,130.940,93.163,39.389,107.220,64.286,201.611,97.878,68.529
560,67.636,107.859,69.940,130.275,118.346,87.294,33.250,124.069,88.834,276.353,124.502,105.725,25.700,150.004,118.795,201.613,118.369,107.236,300.438,119.977,110.939,82.118,102.848,137.002,440.294,112.433,94.842,40.176,128.274,98.301,13.643,130.712,92.801,25.944,107.374,63.924,83.611,97.992,68.389
561,28.909,108.301,69.657,194.431,118.241,87.213,55.688,124.327,89.486,202.353,124.372,105.942,61.300,149.713,118.995,123.935,118.105,107.260,206.688,119.997,111.011,82.824,102.450,137.188,333.000,112.601,94.763,53.000,128.400,98.716,53.857,130.810,93.098,48.111,107.276,64.373,142.833,98.296,68.368
562,20.773,107.662,69.739,169.686,118.190,87.300,23.438,124.719,89.519,345.176,124.457,105.691,73.900,149.855,119.283,213.097,118.242,107.363,267.750,119.949,111.066,87.471,102.321,137.052,409.059,112.491,94.764,61.647,128.491,98.497,47.857,130.878,92.965,54.667,107.212,64.217,83.333,98.214,68.863
563,64.682,108.051,69.788,166.157,118.415,87.290,62.500,124.503,89.147,141.529,124.532,105.661,42.700,149.690,119.119,250.516,118.239,107.285,297.812,120.031,111.130,94.882,102.274,136.850,371.706,112.615,94.745,33.647,128.046,98.548,46.286,130.763,92.977,35.667,107.131,64.058,98.556,98.335,68.470
564,55.909,107.698,70.065,183.961,118.454,87.347,53.438,124.535,89.394,164.000,124.430,105.812,40.400,149.810,118.982,242.774,118.255,107.195,214.250,119.937,111.103,56.765,102.509,137.167,382.824,112.510,94.755,27.059,128.461,98.906,56.571,130.985,93.424,35.000,107.405,63.593,78.333,97.923,68.494
565,38.500,107.493,69.729,174.784,118.082,87.360,51.750,124.156,89.208,211.235,124.279,105.807,84.600,150.025,119.122,208.903,118.229,107.349,259.562,120.160,111.071,91.000,102.543,137.028,428.588,112.515,94.808,38.588,128.327,98.511,57.214,130.689,93.010,35.000,107.127,63.852,176.333,98.193,68.671
566,38.227,108.267,69.771,203.333,118.256,87.314,80.750,124.493,89.281,198.059,124.449,105.879,12.300,149.673,119.137,209.097,118.231,107.256,224.500,120.004,111.129,82.824,102.635,137.157,368.235,112.575,94.830,64.882,128.430,98.454,56.786,130.634,92.876,176.667,107.291,64.144,129.389,98.052,68.495
567,65.000,107.832,69.996,225.059,118.304,87.323,24.500,124.386,88.934,219.647,124.599,105.782,16.300,149.535,118.836,195.419,118.198,107.302,294.562,120.094,111.064,123.765,102.520,137.128,462.765,112.557,94.768,31.059,128.226,98.725,64.786,130.843,93.167,74.333,107.264,64.076,123.778,97.911,68.571
568,31.591,108.035,69.842,213.843,118.328,87.199,50.875,124.397,89.264,172.824,124.332,105.651,46.300,149.584,119.171,275.290,118.158,107.193,271.250,119.970,111.018,80.882,102.465,137.244,518.529,112.617,94.822,47.176,128.368,98.284,77.000,130.909,92.732,95.944,107.351,64.414,189.167,97.926,68.532
569,58.864,108.102,69.677,232.157,118.226,87.223,62.875,124.653,89.453,245.471,124.344,105.766,70.000,149.671,119.419,227.613,118.310,107.465,234.688,119.954,110.988,101.235,102.626,137.148,399.824,112.622,94.760,61.059,128.474,98.394,33.571,131.043,93.547,92.056,107.205,64.353,205.611,98.115,68.452
570,39.045,107.609,70.175,235.647,118.527,87.315,66.188,124.383,89.323,222.118,124.529,105.852,113.000,149.892,119.194,159.032,118.172,107.378,254.438,119.771,111.078,84.059,102.329,137.050,393.294,112.454,94.800,42.059,128.586,98.302,53.286,130.643,93.254,74.278,107.565,63.940,131.222,97.804,68.511
571,26.455,107.765,69.721,161.216,118.272,87.191,54.062,124.311,89.257,250.412,124.407,105.720,46.400,149.437,119.120,144.452,118.451,107.417,302.375,119.942,110.876,86.294,102.471,137.147,364.765,112.558,94.845,34.706,128.308,98.412,66.429,130.833,93.420,83.778,107.080,64.093,102.444,97.820,68.544
572,65.000,107.765,70.188,149.216,118.270,87.174,35.938,124.365,89.780,196.882,124.684,105.668,90.300,149.624,118.874,274.516,118.257,107.388,275.312,120.012,111.066,110.882,102.279,137.184,436.765,112.509,94.838,42.706,128.399,98.379,52.000,130.788,93.221,64.833,107.171,64.114,165.222,97.721,68.549
573,35.727,107.745,69.505,181.451,118.212,87.113,76.250,124.171,89.482,215.059,124.420,105.827,35.900,149.727,119.067,259.290,118.220,107.233,241.062,119.926,111.023,128.176,102.529,136.977,434.529,112.621,94.876,25.529,128.245,98.369,46.143,130.890,93.549,27.222,107.096,64.285,136.000,97.745,68.563
