 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12
101,39.818,90.784,86.110,67.000,52.521,72.126,54.476,66.271,42.177,53.333,52.195,76.000,30.118,45.898,79.052,29.750,30.044,108.935,48.875,25.725,106.550,63.250,29.295,114.415,48.385,46.643,104.167,39.810,89.988,91.654,72.583,49.660,104.424,29.100,94.357,94.591
102,27.818,90.782,86.001,66.750,52.652,72.098,22.000,66.079,41.949,42.571,52.323,76.222,46.118,45.553,79.048,50.750,29.939,109.267,20.375,25.946,106.919,38.500,29.013,114.320,44.538,46.335,103.776,66.190,89.361,91.794,55.083,49.996,104.453,16.800,94.367,94.878
103,75.091,90.976,85.936,62.250,52.672,72.165,51.333,66.174,41.880,33.810,52.377,76.097,14.118,45.317,79.174,33.833,29.958,109.771,9.375,25.794,107.051,25.750,29.253,114.024,34.154,46.538,104.101,35.714,89.596,91.609,26.167,50.264,104.455,53.300,94.405,94.678
104,79.818,90.736,85.892,101.250,52.506,72.273,95.524,66.512,41.751,29.429,52.461,76.083,35.176,46.275,78.869,48.000,30.216,109.051,51.500,25.582,106.781,77.000,29.104,113.977,31.000,46.513,103.898,34.667,89.635,91.743,48.750,49.889,104.380,39.300,94.275,94.300
105,67.636,90.817,85.958,39.750,52.609,72.247,39.524,66.334,42.019,44.286,52.406,76.021,76.824,45.709,78.950,67.667,30.201,109.213,36.250,25.938,106.647,41.500,29.155,114.200,25.308,46.860,104.338,68.667,89.552,91.720,22.333,49.290,104.305,46.200,94.060,94.253
106,58.182,90.960,85.889,203.500,52.603,72.244,151.714,66.151,42.009,47.619,52.148,76.057,54.941,45.521,78.852,29.083,29.853,109.385,79.000,25.789,106.855,10.500,29.288,114.235,56.615,46.717,104.302,69.714,89.626,91.543,47.667,49.928,104.636,17.400,94.142,94.270
107,95.455,90.696,85.759,218.250,52.516,72.279,126.095,66.130,42.090,94.000,52.310,76.143,35.059,45.698,78.883,67.333,30.165,109.465,50.875,25.835,106.706,62.750,29.152,113.894,28.077,46.458,103.757,65.714,89.697,91.911,31.833,50.017,104.225,39.200,94.359,94.516
108,48.364,90.858,86.053,387.500,52.566,72.173,142.762,66.183,42.166,94.762,52.296,76.273,21.176,45.718,78.849,27.917,29.748,109.445,47.500,25.774,106.873,22.250,29.149,114.242,30.462,46.342,103.938,27.714,89.574,92.034,32.833,49.585,104.576,55.100,94.227,94.546
109,39.818,90.641,86.049,430.250,52.459,72.214,58.762,66.259,42.130,83.714,52.332,76.092,59.294,45.975,78.829,59.250,29.963,109.116,56.500,25.661,106.872,21.250,29.248,113.961,21.385,46.173,104.363,29.333,89.766,91.878,19.667,49.877,104.517,26.600,94.400,94.179
110,52.364,90.643,85.963,204.000,52.501,72.355,42.476,66.290,41.917,107.238,52.282,76.132,72.941,45.932,78.904,66.500,29.982,109.149,39.375,25.656,106.889,57.250,29.093,114.112,20.615,46.308,104.094,50.667,89.642,91.785,59.250,49.545,104.331,48.600,94.225,94.276
111,55.455,90.743,85.953,185.500,52.524,72.177,26.381,66.117,42.007,141.714,52.371,76.131,7.412,45.021,78.792,29.417,29.952,109.231,78.500,25.846,106.925,68.500,29.201,113.958,66.154,46.402,103.894,36.190,89.834,91.874,77.500,49.656,104.351,40.200,94.368,94.644
112,116.364,90.547,85.915,33.500,52.392,72.015,76.762,66.270,41.777,309.810,52.095,76.099,58.706,45.622,78.833,35.083,29.885,109.257,33.000,25.730,106.787,33.000,29.060,114.249,62.462,46.615,103.935,71.714,89.765,91.732,45.583,50.105,104.496,55.300,94.185,94.387
113,89.818,90.751,86.009,57.000,52.370,72.384,40.667,66.311,42.124,159.619,52.342,75.971,104.588,45.482,78.930,41.917,30.105,109.443,57.625,25.677,106.685,62.750,29.170,114.272,44.000,46.324,104.123,31.524,89.424,91.939,43.833,49.708,104.428,13.700,94.329,94.384
114,69.091,90.770,86.060,162.000,52.510,72.192,27.333,66.233,42.061,102.857,52.090,76.031,100.000,45.787,78.851,34.417,29.926,109.501,36.875,25.670,106.834,98.500,29.149,114.518,15.846,46.497,103.994,70.381,89.574,91.589,49.917,49.682,104.407,36.000,94.159,94.552
115,68.727,90.757,86.165,43.250,52.506,72.021,45.238,65.940,41.916,61.619,52.386,76.044,66.471,45.840,78.777,48.667,29.983,109.450,71.625,25.775,106.616,62.750,29.195,113.824,78.308,46.409,104.023,57.238,89.850,91.898,49.500,49.936,104.384,40.000,94.037,94.434
116,52.545,90.858,85.897,103.000,52.560,72.256,54.667,66.222,42.037,82.667,52.313,75.908,36.471,45.853,78.894,76.167,29.949,109.337,71.875,25.595,106.782,39.250,29.194,114.111,79.462,46.753,104.097,60.667,89.757,91.649,68.167,49.861,104.467,64.100,94.204,94.519
117,42.909,90.634,86.030,144.750,52.651,72.115,51.619,66.246,42.107,87.810,52.363,76.226,26.353,45.505,78.719,37.000,29.881,109.244,84.625,25.661,106.584,20.500,28.985,113.986,64.231,46.373,103.995,57.810,89.791,91.534,41.833,49.795,104.397,9.400,94.402,94.392
118,41.091,90.601,86.105,77.500,52.609,72.159,40.000,66.305,41.959,101.143,52.263,76.138,39.294,45.887,78.825,90.083,30.119,109.276,25.625,25.882,106.571,24.500,29.181,114.061,75.000,46.576,103.988,44.762,89.647,91.682,39.583,49.861,104.707,12.500,94.420,94.531
119,50.727,90.724,85.895,53.000,52.448,71.935,34.857,66.377,42.014,69.333,52.144,75.902,45.765,45.743,79.032,45.833,29.974,109.559,52.875,25.727,106.701,82.000,29.132,114.031,67.385,46.538,104.000,36.667,89.730,91.790,53.417,49.848,104.565,26.600,94.313,94.520
120,113.455,90.856,85.911,83.750,52.519,72.608,52.952,65.878,41.985,37.238,52.199,76.210,46.353,45.533,78.858,52.500,29.891,109.571,70.250,25.584,106.682,52.500,29.075,114.304,49.923,46.755,104.120,52.857,89.784,91.706,55.667,49.672,104.316,44.500,94.236,94.449
121,56.000,90.579,86.148,55.250,52.420,72.096,53.238,66.143,41.993,34.571,52.514,76.093,74.353,45.472,78.963,58.333,29.979,109.015,54.375,25.876,106.977,36.750,29.263,114.028,38.231,46.573,104.011,54.762,89.825,91.629,26.833,49.390,104.587,21.000,94.271,94.785
122,65.273,90.693,86.158,37.000,52.480,72.065,47.524,66.007,41.951,65.143,52.311,76.207,24.706,45.775,78.817,30.750,30.142,109.418,61.750,25.774,106.919,68.500,29.061,114.315,38.462,46.440,104.159,12.286,89.697,91.790,38.833,49.575,104.365,17.800,93.878,94.893
123,41.818,90.446,86.141,76.500,52.592,72.162,52.762,66.330,41.983,35.714,52.389,75.964,56.588,45.728,78.733,49.250,30.125,109.130,41.375,25.674,106.438,113.000,29.183,114.242,37.846,46.425,104.276,50.286,89.713,91.698,45.333,49.685,104.609,22.400,94.413,94.259
124,35.455,90.484,86.004,73.250,52.766,72.309,25.238,65.728,42.023,80.000,52.194,75.922,46.235,45.968,79.029,58.833,30.042,109.464,66.875,25.423,106.642,15.000,29.295,114.235,38.077,46.426,104.132,77.048,89.694,91.626,69.917,49.471,104.467,8.000,94.182,94.914
125,78.364,90.628,86.070,30.500,52.507,72.296,53.238,66.185,41.917,48.476,52.184,76.202,50.941,45.762,78.931,69.000,30.163,109.393,53.750,25.572,106.623,25.500,28.985,114.101,46.077,46.511,103.998,54.952,89.678,91.531,50.417,49.803,104.640,33.900,94.247,94.420
126,70.727,90.680,85.979,76.250,52.447,72.458,25.905,66.016,42.214,65.238,52.307,76.023,15.059,45.681,78.994,43.250,29.919,109.320,43.000,25.495,106.985,119.000,29.087,114.140,28.923,46.594,104.197,47.714,89.567,91.734,47.583,49.620,104.330,13.500,94.544,94.641
127,73.273,90.945,85.863,27.750,52.595,72.385,39.429,65.988,41.931,76.667,52.173,76.197,45.529,45.491,78.918,36.833,29.958,109.201,28.125,25.729,106.911,36.750,29.143,114.130,63.308,46.618,104.067,71.810,89.667,91.816,38.917,49.835,104.527,34.600,93.990,94.994
128,34.545,90.944,86.074,53.000,52.646,72.329,34.667,66.313,41.915,60.857,52.221,76.172,50.588,45.884,78.980,43.000,29.982,109.097,30.250,25.899,106.680,6.500,29.140,114.545,50.231,46.516,103.911,29.333,89.863,91.811,35.250,49.979,104.529,24.900,94.125,94.559
129,57.091,90.551,85.965,104.750,52.485,72.410,31.714,66.349,42.184,46.476,52.294,76.059,53.882,45.749,78.997,64.000,30.243,109.373,45.500,25.750,106.796,74.000,29.212,114.430,63.769,46.573,103.864,35.333,89.923,91.338,28.583,49.864,104.409,36.800,94.221,94.371
