 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
178,281.647,77.225,76.082,119.667,94.690,85.242,166.000,100.568,83.069,94.769,87.365,77.049,75.000,80.813,59.913,21.923,92.396,54.802,1.375,69.764,65.819,33.000,101.702,64.333,39.636,86.868,46.856,61.000,94.917,61.443,51.000,106.666,118.487,85.833,100.133,89.465,192.923,86.596,88.220
179,343.059,77.357,76.191,177.500,94.644,85.402,88.000,100.656,82.815,71.231,87.224,76.572,31.375,80.782,60.214,35.846,92.619,54.984,25.250,70.117,65.671,30.154,101.508,64.974,8.182,86.914,46.924,114.846,94.690,61.304,17.333,106.342,118.512,110.667,100.081,89.257,203.154,86.603,88.378
180,184.588,77.303,76.100,146.833,94.431,85.331,345.500,100.582,82.946,100.769,87.340,76.884,36.938,81.021,60.192,19.846,92.740,55.021,14.750,70.457,65.988,35.308,101.532,64.451,28.727,86.586,47.071,73.385,94.555,61.330,65.167,106.446,118.522,94.167,100.186,89.083,205.308,86.663,88.404
181,173.412,77.325,76.033,146.333,94.643,85.341,110.500,100.539,83.031,60.077,87.460,76.773,41.688,80.869,59.913,42.385,92.806,54.987,38.125,69.828,65.878,26.538,101.547,64.451,47.818,86.864,46.921,48.923,94.689,61.458,22.167,106.737,118.465,120.833,100.005,89.430,210.154,86.635,88.322
182,139.765,77.200,76.077,203.333,94.464,85.308,187.750,100.512,83.057,65.462,87.265,76.894,55.375,80.993,60.224,26.615,92.734,55.086,21.375,70.237,65.911,20.923,101.832,64.286,22.364,86.698,46.945,29.462,94.663,61.509,27.500,106.555,118.436,82.833,100.010,89.144,218.923,86.528,88.375
183,125.529,77.269,76.048,117.167,94.573,85.400,242.750,100.635,83.141,77.615,87.318,77.168,25.375,80.794,59.744,43.077,92.598,55.030,41.750,70.199,65.681,33.462,101.443,64.384,0.364,86.335,46.655,24.154,94.686,61.230,20.667,106.868,118.238,147.833,100.188,89.215,198.538,86.599,88.297
184,85.059,77.002,76.138,155.667,94.536,85.239,149.000,100.563,83.221,75.923,87.355,76.593,43.062,81.017,60.147,17.308,92.798,55.051,43.125,70.032,66.207,34.692,101.596,64.291,27.273,86.403,46.979,42.231,94.661,61.264,35.333,106.494,118.334,144.167,100.009,89.181,210.462,86.629,88.413
185,98.941,77.327,76.179,161.500,94.399,85.234,259.500,100.679,83.088,71.000,87.386,76.939,54.000,81.018,60.133,43.077,92.650,54.980,58.375,69.976,66.061,31.077,101.541,64.109,78.364,86.708,47.048,24.769,94.936,61.182,40.333,106.513,118.592,87.167,100.082,89.239,170.846,86.831,88.411
186,139.529,77.522,75.986,199.833,94.559,85.233,277.750,100.507,83.139,69.308,87.084,76.954,83.562,80.657,59.969,38.077,93.026,55.153,44.875,69.936,65.834,22.462,101.386,64.190,26.909,86.683,47.139,41.692,94.762,61.365,29.333,106.552,118.617,112.500,100.078,89.202,259.385,86.614,88.377
187,74.706,77.294,76.154,214.000,94.614,85.353,173.750,100.541,82.990,57.308,87.103,76.772,44.562,80.977,60.124,28.538,92.825,55.004,28.750,70.253,65.744,30.769,101.489,64.279,30.727,86.645,46.848,36.000,94.530,61.514,0.000,NaN,NaN,78.000,100.152,89.056,153.231,86.718,88.255
