 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18
162,99.000,96.801,84.615,134.000,76.128,110.865,272.889,88.254,101.073,98.667,80.538,87.311,201.375,94.325,98.324,198.250,86.290,58.001,18.375,91.696,79.287,210.500,79.017,64.339,178.750,70.321,109.814,198.750,88.976,42.718,97.600,80.981,57.901,172.095,90.859,83.624,72.167,93.602,104.346,156.167,81.542,35.667,110.875,92.296,89.864,82.500,63.029,89.947,197.600,88.997,109.864,91.625,87.141,89.224
163,121.750,96.683,84.570,151.333,75.994,110.839,236.444,88.225,101.063,107.333,80.660,87.468,189.375,94.288,98.235,142.500,86.403,57.935,28.375,91.653,79.332,254.750,78.999,64.294,262.250,70.269,109.696,152.000,88.938,42.705,73.200,80.895,57.786,111.524,91.040,83.660,135.667,93.589,104.267,99.833,81.559,35.539,166.000,92.092,89.903,69.000,63.134,89.958,90.400,88.888,109.888,72.375,87.194,89.386
164,63.250,96.504,84.764,175.333,76.167,110.825,264.222,88.167,100.917,141.167,80.614,87.316,197.625,94.330,98.303,154.000,86.273,57.987,47.750,91.743,79.494,136.125,79.013,64.178,210.250,70.234,109.864,99.750,88.985,42.731,50.200,80.938,57.874,136.952,91.053,83.640,91.000,93.731,104.140,111.167,81.647,35.512,91.000,92.352,89.924,40.750,62.944,89.827,164.600,89.017,110.176,77.750,87.169,89.492
165,61.375,96.662,84.722,144.222,76.116,110.972,335.556,88.180,100.971,191.833,80.642,87.407,172.375,94.345,98.298,165.250,86.340,57.953,51.750,91.714,79.354,169.500,79.116,64.284,218.500,70.203,109.759,107.000,88.937,42.567,114.600,80.917,58.002,84.571,90.865,83.674,82.500,93.608,104.349,154.667,81.550,35.620,170.750,92.008,89.792,64.000,63.051,89.893,160.200,89.000,109.966,61.750,87.134,89.452
166,69.375,96.413,84.616,138.444,76.004,110.674,203.333,88.203,100.973,99.000,80.699,87.298,220.750,94.458,98.280,159.250,86.348,57.965,37.875,91.952,79.634,124.125,79.042,64.357,153.750,70.265,109.845,48.000,88.881,42.625,96.200,80.906,57.481,107.333,90.989,83.790,8.833,93.488,104.391,117.000,81.547,35.597,113.000,92.172,89.908,48.750,63.177,89.893,153.800,88.977,110.148,96.500,87.263,89.319
167,95.375,96.600,84.726,148.667,76.107,110.927,255.333,88.273,101.037,98.167,80.583,87.460,275.250,94.438,98.307,121.750,86.367,57.904,19.625,91.848,79.154,156.750,78.895,64.436,266.500,70.285,109.706,129.500,89.034,42.606,99.400,80.859,57.753,171.714,91.037,83.548,170.667,93.625,104.203,146.000,81.505,35.704,189.875,92.153,89.893,83.500,62.933,89.831,110.200,88.996,109.901,78.875,87.393,89.267
168,131.375,96.630,84.530,154.667,76.081,110.857,247.333,88.175,100.993,111.500,80.638,87.570,230.875,94.281,98.256,120.500,86.417,57.921,48.625,91.753,79.553,220.375,79.025,64.316,186.500,70.139,109.784,35.000,88.629,42.740,175.600,80.946,57.801,92.190,90.983,83.336,101.833,93.609,104.170,76.000,81.555,35.677,102.500,91.974,89.857,145.750,63.115,89.995,137.600,89.011,110.050,103.625,87.251,89.398
169,97.875,96.592,84.559,105.556,76.071,110.734,144.222,88.240,100.884,69.333,80.717,87.617,144.625,94.279,98.347,201.750,86.336,57.895,10.250,91.972,79.473,167.000,78.984,64.260,213.750,70.241,109.763,59.750,88.975,42.689,52.200,80.939,57.821,121.048,90.840,83.635,86.167,93.577,104.038,74.833,81.434,35.501,111.375,92.202,89.730,123.250,63.101,89.715,164.200,88.960,110.001,111.375,87.214,89.336
170,182.875,96.621,84.653,101.556,76.253,110.931,169.556,88.220,100.990,100.500,80.529,87.548,339.875,94.469,98.319,106.000,86.336,57.947,61.750,91.756,79.394,239.875,79.126,64.388,175.000,70.250,109.647,64.500,88.957,42.657,22.200,80.755,57.762,98.286,90.893,83.588,46.167,93.513,104.051,65.167,81.603,35.529,160.500,92.159,89.697,102.750,63.076,90.075,139.800,88.928,109.889,125.500,87.244,89.239
171,177.500,96.494,84.666,97.111,75.991,110.845,144.222,88.327,100.890,125.667,80.429,87.484,224.750,94.420,98.315,95.000,86.433,58.035,81.750,91.714,79.225,202.500,78.949,64.452,233.750,70.153,109.756,70.750,89.019,42.707,154.800,80.888,57.872,93.619,90.808,83.579,59.500,93.449,104.193,103.667,81.283,35.575,109.875,92.218,89.969,78.750,63.105,89.973,175.600,89.021,109.715,91.750,87.012,89.309
172,149.625,96.737,84.465,210.444,76.091,110.745,301.778,88.153,100.983,159.000,80.583,87.305,233.250,94.476,98.166,158.500,86.530,57.883,52.500,92.000,79.477,189.000,79.043,64.275,235.500,70.204,109.790,101.000,88.962,42.773,113.200,80.901,57.935,106.476,90.882,83.583,59.500,93.653,104.239,75.500,81.671,35.503,151.375,92.090,89.988,78.750,63.215,89.885,162.200,89.019,109.908,96.125,87.471,89.152
173,92.750,96.764,84.547,95.111,76.049,110.860,242.222,88.258,100.910,329.333,80.630,87.455,186.750,94.415,98.257,106.000,86.363,57.965,28.375,91.615,79.769,170.625,79.068,64.301,183.000,70.157,109.699,104.500,88.869,42.595,64.800,80.980,57.979,90.000,90.995,83.628,91.333,93.535,104.169,80.000,81.592,35.603,163.750,92.218,89.911,62.500,62.913,89.942,253.800,88.974,109.941,99.125,87.469,89.430
