 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18
21,57.639,166.342,98.720,299.833,185.555,70.407,26.433,64.681,52.982,24.500,181.627,100.576,21.438,209.722,131.277,278.194,191.831,73.695,86.692,213.348,135.346,133.569,190.544,123.443,282.409,184.124,78.792,119.286,135.190,67.971,231.100,148.218,66.683,36.262,120.563,79.495,119.568,199.220,108.029,87.000,198.689,114.939,393.500,155.851,56.928,47.250,176.418,41.792,106.980,161.743,30.469,17.455,171.675,90.241
22,71.111,166.211,98.590,284.000,185.527,70.387,46.400,64.503,52.812,14.000,182.189,100.582,41.250,209.783,131.327,222.452,191.746,73.613,134.462,213.399,135.387,142.078,190.744,123.470,231.909,184.264,78.732,110.762,135.089,68.208,294.933,148.130,66.683,29.810,121.339,79.225,63.838,199.074,108.079,125.267,198.755,115.267,364.889,155.807,56.860,66.179,176.553,41.999,73.412,161.625,30.629,23.455,171.687,90.763
23,51.250,166.262,98.759,283.278,185.552,70.336,29.967,64.335,52.454,24.367,182.217,100.905,17.688,210.000,131.707,171.226,191.582,73.706,119.846,213.450,135.572,109.255,190.965,123.251,256.727,184.013,78.819,104.286,135.120,68.359,249.700,148.153,66.818,25.643,121.018,79.377,90.486,199.270,108.078,96.500,198.825,115.341,391.722,155.863,56.931,45.714,176.610,41.992,97.882,161.578,30.668,54.455,171.690,90.700
24,58.500,166.355,98.386,324.167,185.559,70.340,32.600,64.355,52.620,19.700,181.532,100.396,6.312,209.586,132.031,245.935,191.621,73.581,77.923,213.595,135.614,97.373,190.755,123.226,234.273,184.204,78.695,107.857,135.023,68.174,254.333,148.129,66.767,56.119,120.931,79.311,120.324,199.123,108.363,78.200,198.531,115.127,352.333,155.780,56.915,48.929,176.601,41.583,116.157,161.699,30.468,28.591,171.767,90.492
25,60.944,166.129,98.655,246.611,185.410,70.342,33.833,64.396,52.555,21.533,181.730,100.774,43.375,209.835,131.713,210.774,191.523,73.651,84.308,213.417,135.505,104.510,190.836,123.380,329.500,184.199,78.811,107.048,135.003,68.122,298.333,148.098,66.684,35.143,120.879,79.389,115.784,199.256,108.341,117.433,198.650,115.211,386.722,155.912,56.869,41.821,176.618,41.917,79.647,161.776,30.563,37.727,171.751,90.491
26,66.361,166.250,98.567,241.889,185.434,70.350,60.733,64.271,52.344,20.200,181.622,100.261,17.750,210.039,131.709,269.161,191.647,73.672,114.308,213.473,135.543,76.039,190.848,123.365,302.636,183.951,78.850,93.333,135.073,68.710,234.033,148.055,66.583,37.667,121.018,79.234,83.676,199.419,108.188,112.800,198.888,115.297,332.389,155.896,56.941,24.571,176.811,42.284,55.020,161.734,30.701,40.045,171.528,90.288
27,67.250,166.214,98.370,279.333,185.503,70.325,66.367,64.343,52.493,31.667,181.411,100.262,11.188,209.405,131.966,291.032,191.640,73.626,67.846,213.344,135.266,111.412,190.826,123.457,247.818,184.098,78.677,95.762,135.122,68.301,230.933,148.051,66.610,30.905,121.064,79.674,59.568,199.142,108.335,134.400,198.857,115.145,353.500,155.837,56.874,20.893,176.538,41.790,100.549,161.658,30.334,27.955,171.867,90.402
28,48.056,166.461,98.329,248.444,185.394,70.380,62.333,64.881,53.075,23.867,181.774,100.891,3.750,210.335,131.636,269.548,191.627,73.598,128.615,213.459,135.468,113.333,190.960,123.445,258.727,184.170,78.860,84.714,134.957,68.322,272.533,148.270,66.649,52.429,120.859,79.590,96.162,199.273,108.104,114.200,198.888,115.460,340.500,155.863,56.857,45.929,176.531,42.169,88.627,161.694,30.744,17.682,171.642,90.319
29,67.417,166.033,98.540,244.278,185.380,70.402,86.867,65.051,53.363,24.333,181.347,100.483,1.562,209.665,131.620,177.613,191.541,73.550,94.308,213.397,135.688,137.961,190.827,123.673,321.091,184.168,78.780,108.524,134.973,68.532,213.767,148.063,66.589,51.048,120.769,79.407,74.270,199.123,108.181,138.400,198.956,115.237,393.056,155.846,56.955,32.893,176.796,41.857,88.980,161.608,30.533,16.455,171.764,90.598
30,63.389,166.359,98.677,266.889,185.375,70.398,74.500,64.752,53.069,27.567,181.518,100.406,25.750,209.765,131.958,243.677,191.713,73.510,102.615,213.377,135.503,118.588,190.686,123.343,244.864,184.140,78.860,110.905,135.007,68.315,240.867,148.188,66.745,39.381,120.309,79.715,66.649,199.331,107.985,86.667,198.908,115.321,361.667,155.816,56.945,38.500,176.788,42.319,108.118,161.698,30.622,29.273,171.536,90.399
31,40.333,166.204,98.250,305.111,185.444,70.372,218.933,64.109,52.988,24.133,181.473,100.729,37.188,209.869,131.517,275.161,191.510,73.543,144.231,213.283,135.541,93.059,190.844,123.262,305.773,184.068,78.969,71.238,134.960,68.589,242.667,148.153,66.907,58.548,120.763,79.331,65.622,199.203,107.862,115.567,198.809,115.381,319.889,155.861,57.011,39.571,176.448,42.088,101.137,161.635,30.536,24.909,171.505,90.366
32,77.056,166.365,98.489,324.944,185.351,70.392,25.567,64.534,52.637,30.900,181.426,100.086,24.625,210.105,131.507,240.710,191.620,73.620,94.308,213.453,135.523,97.294,190.916,123.487,284.909,184.107,78.791,105.429,135.207,68.550,166.833,148.275,66.609,24.238,120.863,79.294,75.081,199.144,107.823,69.900,198.826,115.129,433.167,155.828,57.056,46.750,176.629,41.835,107.333,161.683,30.522,26.636,171.616,90.679
33,68.806,166.295,98.868,277.611,185.500,70.365,43.867,64.588,52.562,21.467,181.756,100.514,18.500,209.917,131.683,298.258,191.505,73.626,64.615,213.417,135.547,88.000,190.798,123.490,310.409,184.112,78.812,105.762,134.977,68.279,242.633,148.181,66.808,31.952,120.686,79.358,60.973,199.393,107.903,109.900,198.857,115.367,394.111,155.863,56.949,30.357,176.649,42.071,81.373,161.643,30.707,28.864,171.923,90.529
34,42.500,166.019,98.793,294.167,185.439,70.323,26.167,64.588,52.530,25.700,181.754,100.863,17.500,210.039,131.562,224.129,191.784,73.643,63.538,213.270,135.509,91.961,190.636,123.531,299.136,184.074,78.931,94.238,135.041,68.378,277.500,148.176,66.691,23.786,120.412,79.528,72.432,199.039,108.160,114.700,198.803,115.216,395.333,155.841,56.974,62.179,176.513,42.092,84.000,161.786,30.542,31.864,171.778,90.633
35,59.333,166.040,98.503,319.611,185.429,70.315,26.100,64.378,52.666,29.700,181.567,100.409,30.500,209.820,131.359,278.645,191.609,73.550,88.000,213.459,135.348,78.392,190.624,123.558,285.545,184.253,78.905,51.524,135.097,68.465,284.100,148.203,66.547,40.786,120.744,79.591,58.757,199.178,108.354,84.333,198.546,115.048,410.889,155.916,56.926,61.464,176.729,42.094,137.765,161.589,30.617,13.227,171.550,90.393
36,76.000,166.178,98.752,285.167,185.412,70.417,25.967,64.279,52.408,19.667,181.873,100.796,17.250,209.393,131.084,257.097,191.614,73.749,78.692,213.478,135.333,74.392,190.938,123.446,228.409,184.108,78.795,83.000,134.864,68.211,207.033,148.255,66.607,27.810,121.159,79.478,84.378,199.093,108.059,65.233,198.923,115.280,367.722,155.832,57.091,47.000,176.597,42.075,118.784,161.675,30.542,17.000,171.858,90.945
37,74.861,166.241,98.349,250.333,185.473,70.462,23.133,64.410,52.801,22.433,181.435,100.416,13.750,210.176,131.303,255.290,191.695,73.691,75.000,213.389,135.411,99.373,190.750,123.507,267.682,184.117,78.954,78.571,134.887,68.181,279.167,148.158,66.753,32.905,121.060,79.148,76.919,198.984,108.136,57.100,198.627,115.266,336.889,155.921,56.946,47.857,176.434,42.171,100.039,161.526,30.486,28.545,171.595,90.361
38,58.528,166.287,98.409,232.167,185.325,70.379,17.000,64.499,52.849,10.100,181.325,100.955,26.375,209.823,131.837,218.258,191.591,73.565,53.462,213.637,135.564,100.627,191.066,123.325,265.545,184.017,78.777,67.952,134.928,68.353,261.367,148.225,66.755,40.786,121.003,79.438,65.459,199.065,108.162,101.600,198.801,115.390,371.611,155.866,57.003,45.536,176.500,41.847,79.098,161.783,30.566,27.545,171.542,90.673
39,79.583,166.289,98.725,337.333,185.444,70.489,41.567,64.307,52.385,23.567,181.655,100.560,15.500,209.739,131.268,314.710,191.594,73.593,94.462,213.492,135.453,115.804,190.823,123.334,299.182,184.109,78.891,86.238,135.032,68.383,244.000,148.161,66.646,27.143,121.164,79.304,82.919,199.034,108.203,91.367,198.695,115.385,357.833,155.860,56.969,49.964,176.457,42.002,109.608,161.697,30.392,21.591,171.519,90.620
40,75.972,166.335,98.616,307.278,185.446,70.282,38.967,64.393,52.601,22.933,181.778,100.243,10.562,209.537,130.856,219.032,191.676,73.587,95.154,213.416,135.411,117.216,190.850,123.583,286.136,183.998,78.776,95.333,135.006,68.364,256.667,148.147,66.607,34.286,120.557,79.273,97.568,199.240,108.056,113.500,198.824,115.205,412.889,155.921,56.938,29.643,176.803,42.211,102.471,161.649,30.443,58.227,171.525,90.533
